feature,standardized_coefficient,absolute_coefficient,missing_fraction
t3_131_std,0.3268320173855026,0.3268320173855026,0.021904142268488396
t2_magnetogram_pil_fraction,0.22887778600459963,0.22887778600459963,0.01594014313597918
delta_131_q10,0.2194059193752635,0.2194059193752635,0.03643461288223813
t3_131_q10,0.21876094164594945,0.21876094164594945,0.021904142268488396
t0_131_std,0.18823092474549363,0.18823092474549363,0.017241379310344827
t3_continuum_q10,-0.17682995682581942,0.17682995682581942,0.019952288006939926
t3_magnetogram_flux_imbalance,0.17360360257305724,0.17360360257305724,0.019952288006939926
t2_131_q10,0.17005714644680717,0.17005714644680717,0.02006072435480373
delta_131_std,0.16458227785534296,0.16458227785534296,0.03643461288223813
t2_continuum_dark_fraction,-0.15472750882463338,0.15472750882463338,0.01594014313597918
t1_193_q90,-0.1463718232390851,0.1463718232390851,0.03253090435914118
t0_131_q10,0.14571273627899567,0.14571273627899567,0.017241379310344827
t3_continuum_spot_contrast,-0.14457911153085218,0.14457911153085218,0.019952288006939926
t1_magnetogram_zernike_4_0,-0.1365889472017893,0.1365889472017893,0.03057905009759271
delta_continuum_std,-0.13293582162914033,0.13293582162914033,0.03437432227282585
t3_magnetogram_zernike_4_4,-0.13176330251357873,0.13176330251357873,0.019952288006939926
t3_magnetogram_zernike_4_0,0.13097586034845826,0.13097586034845826,0.019952288006939926
delta_193_q10,-0.1309274688017954,0.1309274688017954,0.036651485577965735
t3_magnetogram_pil_strength,0.12892627462640968,0.12892627462640968,0.019952288006939926
t1_magnetogram_zernike_6_0,0.12761630322342601,0.12761630322342601,0.03057905009759271
t1_continuum_dark_fraction,0.1268573490333884,0.1268573490333884,0.03057905009759271
delta_131_bright_fraction,-0.1244231814945392,0.1244231814945392,0.03643461288223813
t0_magnetogram_pil_strength,0.12390600792817595,0.12390600792817595,0.014855779657341141
t1_magnetogram_bright_fraction,0.12073874175140555,0.12073874175140555,0.03057905009759271
t2_magnetogram_zernike_4_2,-0.11609088283735175,0.11609088283735175,0.01594014313597918
t2_magnetogram_dark_fraction,0.11486977623604669,0.11486977623604669,0.01594014313597918
t0_magnetogram_flux_imbalance,-0.11192536421996074,0.11192536421996074,0.014855779657341141
t0_magnetogram_std,-0.11004978091495135,0.11004978091495135,0.014855779657341141
t1_continuum_q10,0.10962918155325856,0.10962918155325856,0.03057905009759271
t2_continuum_std,-0.108126908604423,0.108126908604423,0.01594014313597918
t1_193_mean,-0.1056293276396557,0.1056293276396557,0.03253090435914118
t2_continuum_spot_contrast,0.10493377174946551,0.10493377174946551,0.01594014313597918
t3_magnetogram_zernike_2_0,0.10492304609147438,0.10492304609147438,0.019952288006939926
t2_131_mean,-0.1037665981720324,0.1037665981720324,0.02006072435480373
t1_continuum_median,-0.10229807254978929,0.10229807254978929,0.03057905009759271
t3_131_dark_fraction,0.10173091493230853,0.10173091493230853,0.021904142268488396
t3_continuum_bright_fraction,0.10156448571036476,0.10156448571036476,0.019952288006939926
t3_magnetogram_bright_fraction,-0.10154143062482869,0.10154143062482869,0.019952288006939926
t2_magnetogram_zernike_2_2,-0.10150862436862178,0.10150862436862178,0.01594014313597918
t2_193_median,0.1005097948341338,0.1005097948341338,0.02006072435480373
t3_131_entropy,0.1002391655794799,0.1002391655794799,0.021904142268488396
t3_193_median,0.09994968994286398,0.09994968994286398,0.022121014964216004
t3_193_std,-0.09796670093963974,0.09796670093963974,0.022121014964216004
t1_193_missing,0.09778995707512085,0.09778995707512085,0.0
delta_131_gradient,0.09653828238031738,0.09653828238031738,0.03643461288223813
t2_magnetogram_gradient,0.0952539432818119,0.0952539432818119,0.01594014313597918
t2_193_std,-0.09375492736553473,0.09375492736553473,0.02006072435480373
t1_continuum_q90,-0.09355986436061865,0.09355986436061865,0.03057905009759271
t2_magnetogram_entropy,0.09333980156389941,0.09333980156389941,0.01594014313597918
delta_continuum_q10,-0.09285123267990793,0.09285123267990793,0.03437432227282585
delta_193_mean,-0.09032677099234322,0.09032677099234322,0.036651485577965735
delta_131_median,-0.08999673826852483,0.08999673826852483,0.03643461288223813
t1_magnetogram_gradient,0.08884967484833874,0.08884967484833874,0.03057905009759271
t0_193_std,-0.08841835777941164,0.08841835777941164,0.017241379310344827
t1_193_q10,-0.08713327390774873,0.08713327390774873,0.03253090435914118
t1_continuum_std,0.08606066685949122,0.08606066685949122,0.03057905009759271
t2_continuum_q10,-0.08582970473463167,0.08582970473463167,0.01594014313597918
t0_continuum_gradient,-0.08430021567611125,0.08430021567611125,0.014855779657341141
t1_continuum_mean,-0.08422240532261378,0.08422240532261378,0.03057905009759271
t0_193_q90,-0.08415804011442739,0.08415804011442739,0.017241379310344827
t0_193_dark_fraction,0.08410014825487483,0.08410014825487483,0.017241379310344827
t2_131_q90,-0.08196303768609677,0.08196303768609677,0.02006072435480373
t0_continuum_q10,-0.08183810449685396,0.08183810449685396,0.014855779657341141
delta_131_dark_fraction,0.08182292085404388,0.08182292085404388,0.03643461288223813
t2_continuum_mean,0.0816104634948768,0.0816104634948768,0.01594014313597918
t1_magnetogram_median,-0.08106272176767512,0.08106272176767512,0.03057905009759271
t1_193_std,0.08094358380728986,0.08094358380728986,0.03253090435914118
t0_131_entropy,0.07966051737277124,0.07966051737277124,0.017241379310344827
t3_magnetogram_pil_fraction,0.0795967778597524,0.0795967778597524,0.019952288006939926
delta_magnetogram_std,0.07731131181553146,0.07731131181553146,0.03437432227282585
t0_193_gradient,0.077046739449432,0.077046739449432,0.017241379310344827
t2_magnetogram_zernike_6_6,-0.07683369835347191,0.07683369835347191,0.01594014313597918
t2_magnetogram_bright_fraction,-0.0751207582425845,0.0751207582425845,0.01594014313597918
t1_magnetogram_strong_field_fraction,0.07471193325356783,0.07471193325356783,0.03057905009759271
t3_magnetogram_gradient,0.0741501939617677,0.0741501939617677,0.019952288006939926
delta_magnetogram_q10,0.07391990865478451,0.07391990865478451,0.03437432227282585
t1_193_flagged,-0.0728691345778825,0.0728691345778825,0.0
t1_193_median,0.07269112009652572,0.07269112009652572,0.03253090435914118
t3_131_bright_fraction,-0.07261982037753541,0.07261982037753541,0.021904142268488396
t3_magnetogram_median,0.07203161728541752,0.07203161728541752,0.019952288006939926
t0_193_median,-0.07178132102717,0.07178132102717,0.017241379310344827
t0_131_mean,-0.07129375414869434,0.07129375414869434,0.017241379310344827
delta_131_entropy,-0.07083021630954968,0.07083021630954968,0.03643461288223813
t2_131_gradient,0.07029190098508693,0.07029190098508693,0.02006072435480373
t3_magnetogram_zernike_6_2,0.07014714046155711,0.07014714046155711,0.019952288006939926
delta_magnetogram_strong_field_fraction,0.07004377848667093,0.07004377848667093,0.03437432227282585
t0_continuum_q90,0.06983371823644528,0.06983371823644528,0.014855779657341141
t2_continuum_bright_fraction,-0.06916568363324178,0.06916568363324178,0.01594014313597918
t2_magnetogram_zernike_6_2,0.06821596531019644,0.06821596531019644,0.01594014313597918
t0_magnetogram_median,0.06623984367215435,0.06623984367215435,0.014855779657341141
t3_continuum_dark_fraction,0.06597991601922412,0.06597991601922412,0.019952288006939926
delta_193_dark_fraction,-0.06572697631105931,0.06572697631105931,0.036651485577965735
t2_continuum_median,0.06561229155483886,0.06561229155483886,0.01594014313597918
t2_131_dark_fraction,-0.0646052708636077,0.0646052708636077,0.02006072435480373
delta_continuum_spot_dark_fraction,0.06307249436795642,0.06307249436795642,0.03437432227282585
t3_193_bright_fraction,0.062433561599312626,0.062433561599312626,0.022121014964216004
t0_magnetogram_strong_field_fraction,0.06235276701472533,0.06235276701472533,0.014855779657341141
t0_193_q10,0.062101292166556736,0.062101292166556736,0.017241379310344827
t0_193_mean,-0.060325023149226636,0.060325023149226636,0.017241379310344827
delta_continuum_dark_fraction,0.06012521853983277,0.06012521853983277,0.03437432227282585
t3_magnetogram_std,-0.06000124303029635,0.06000124303029635,0.019952288006939926
delta_magnetogram_gradient,-0.05966170429292882,0.05966170429292882,0.03437432227282585
t1_magnetogram_zernike_6_6,-0.05923697835197188,0.05923697835197188,0.03057905009759271
delta_magnetogram_pil_fraction,0.05911894951067435,0.05911894951067435,0.03437432227282585
t2_131_std,0.059016031419944055,0.059016031419944055,0.02006072435480373
t2_193_q90,-0.05866527214218401,0.05866527214218401,0.02006072435480373
delta_continuum_spot_contrast,0.05859968888193769,0.05859968888193769,0.03437432227282585
t2_magnetogram_strong_field_fraction,0.058300134012533575,0.058300134012533575,0.01594014313597918
t2_magnetogram_q10,-0.05808892601631629,0.05808892601631629,0.01594014313597918
t1_continuum_bright_fraction,0.05747905551540332,0.05747905551540332,0.03057905009759271
t3_magnetogram_zernike_2_2,-0.05664472202710957,0.05664472202710957,0.019952288006939926
t0_magnetogram_zernike_6_2,0.05606715187218508,0.05606715187218508,0.014855779657341141
t3_magnetogram_zernike_6_6,-0.055589884093615385,0.055589884093615385,0.019952288006939926
t2_magnetogram_mean,-0.05554277131730685,0.05554277131730685,0.01594014313597918
t1_magnetogram_zernike_2_2,0.05550356665681484,0.05550356665681484,0.03057905009759271
t0_193_entropy,-0.05400113202277945,0.05400113202277945,0.017241379310344827
t1_magnetogram_flux_imbalance,-0.05384986997233226,0.05384986997233226,0.03057905009759271
t3_magnetogram_q90,-0.05367876819125234,0.05367876819125234,0.019952288006939926
t0_magnetogram_q10,-0.052429168270445935,0.052429168270445935,0.014855779657341141
t1_magnetogram_zernike_6_2,-0.05238059787255801,0.05238059787255801,0.03057905009759271
t2_magnetogram_zernike_6_0,-0.052199948133484934,0.052199948133484934,0.01594014313597918
t1_131_entropy,0.05173040591509364,0.05173040591509364,0.0329646497505964
delta_193_std,-0.05147430999180978,0.05147430999180978,0.036651485577965735
t3_continuum_std,-0.051351123037178814,0.051351123037178814,0.019952288006939926
t3_193_q90,-0.050281057595728706,0.050281057595728706,0.022121014964216004
t0_continuum_entropy,0.05016727102444698,0.05016727102444698,0.014855779657341141
t3_193_missing,-0.049779336659611095,0.049779336659611095,0.0
delta_continuum_q90,-0.04883698977319971,0.04883698977319971,0.03437432227282585
t3_continuum_spot_dark_fraction,-0.048441197282067236,0.048441197282067236,0.019952288006939926
t0_magnetogram_pil_fraction,0.048401940597393195,0.048401940597393195,0.014855779657341141
t0_magnetogram_gradient,0.04807478559266076,0.04807478559266076,0.014855779657341141
t1_131_mean,-0.04798649085406322,0.04798649085406322,0.0329646497505964
delta_magnetogram_zernike_6_6,0.04772964290657593,0.04772964290657593,0.03437432227282585
t3_magnetogram_unsigned_field,-0.04770576023577459,0.04770576023577459,0.019952288006939926
t3_193_flagged,-0.04769091114944686,0.04769091114944686,0.0
t3_continuum_median,-0.04721108536155818,0.04721108536155818,0.019952288006939926
